4020.9s 299 Applying LS move: opt=2opt*, delta=-5.5839, current_len=4
4020.9s 300 Applying LS move: opt=oropt_single, delta=-7.7330, current_len=4
4020.9s 301 Applying LS move: opt=2exchange, delta=-3.1375, current_len=4
4020.9s 302 Applying LS move: opt=2opt*, delta=-2.5318, current_len=4
4020.9s 303 Applying LS move: opt=oropt_single, delta=-2.7650, current_len=4
4020.9s 304 Applying LS move: opt=oropt_single, delta=-3.1714, current_len=4
4020.9s 305 Applying LS move: opt=2exchange, delta=-2.0429, current_len=4
4020.9s 306 Applying LS move: opt=2exchange, delta=-3.6933, current_len=4
4020.9s 307 Applying LS move: opt=oropt_single, delta=-1.6483, current_len=4
4020.9s 308 Applying LS move: opt=2opt*, delta=-10.6528, current_len=4
4020.9s 309 Applying LS move: opt=oropt_single, delta=-4.8148, current_len=4
4020.9s 310 Applying LS move: opt=2opt, delta=-2.8523, current_len=4
4020.9s 311 Applying LS move: opt=oropt_single, delta=-3.2074, current_len=4
4020.9s 312 Applying LS move: opt=2opt, delta=-1.3541, current_len=4
4020.9s 313 Applying LS move: opt=oropt_single, delta=-0.4964, current_len=4
4020.9s 314 Applying LS move: opt=2exchange, delta=-5.9727, current_len=4
4020.9s 315 Applying LS move: opt=2exchange, delta=-2.8613, current_len=4
4020.9s 316 Applying LS move: opt=2exchange, delta=-0.9760, current_len=4
4020.9s 317 Applying LS move: opt=2opt, delta=-2.9781, current_len=4
4020.9s 318 Applying LS move: opt=2opt, delta=-0.5371, current_len=4
4020.9s 319 Applying LS move: opt=2exchange, delta=-0.3859, current_len=4
4020.9s 320 Stagnation detected. Diversifying 40% of non-elite population.
4020.9s 321 Gen: 900. a 0.2020, p_hybrid 0.1500, accepted 26. Avg 21425.9595, Best 2048.0833, Worst 40534.5977, Best vehicles 1
4020.9s 322 Gen 900 done, no improvement for 0 gens, already consumed 526 sec
4020.9s 323 Periodic deep local search on global best.
4020.9s 324 Applying LS move: opt=2exchange, delta=-55.1879, current_len=4
4020.9s 325 Applying LS move: opt=2opt*, delta=-52.6957, current_len=4
4020.9s 326 Applying LS move: opt=2exchange, delta=-52.3008, current_len=4
4020.9s 327 Applying LS move: opt=2exchange, delta=-34.1292, current_len=4
4020.9s 328 Applying LS move: opt=2opt*, delta=-33.8868, current_len=4
4020.9s 329 Applying LS move: opt=2exchange, delta=-33.1147, current_len=4
4020.9s 330 Applying LS move: opt=2opt*, delta=-31.9773, current_len=4
4020.9s 331 Applying LS move: opt=2opt*, delta=-25.9508, current_len=4
4020.9s 332 Applying LS move: opt=2exchange, delta=-23.2299, current_len=4
4020.9s 333 Applying LS move: opt=oropt_single, delta=-39.1414, current_len=4
4021.2s 334 Applying LS move: opt=2opt*, delta=-21.1720, current_len=4
4021.2s 335 Applying LS move: opt=2exchange, delta=-20.0025, current_len=4
4021.3s 336 Applying LS move: opt=2opt*, delta=-18.2742, current_len=4
4021.3s 337 Applying LS move: opt=oropt_single, delta=-23.9668, current_len=4
4021.3s 338 Applying LS move: opt=2exchange, delta=-16.4265, current_len=4
4021.3s 339 Applying LS move: opt=2opt*, delta=-26.5793, current_len=4
4021.3s 340 Applying LS move: opt=2opt*, delta=-24.8970, current_len=4
4021.3s 341 Applying LS move: opt=2exchange, delta=-22.0354, current_len=4
4021.3s 342 Applying LS move: opt=2opt*, delta=-15.4670, current_len=4
4021.3s 343 Applying LS move: opt=oropt_single, delta=-37.6925, current_len=4
4021.3s 344 Applying LS move: opt=2opt*, delta=-14.0192, current_len=4
4021.3s 345 Applying LS move: opt=oropt_single, delta=-13.9956, current_len=4
4021.3s 346 Applying LS move: opt=2exchange, delta=-13.3711, current_len=4
4021.3s 347 Applying LS move: opt=oropt_single, delta=-11.9852, current_len=4
4021.3s 348 Applying LS move: opt=2exchange, delta=-9.6483, current_len=4
4021.3s 349 Applying LS move: opt=oropt_single, delta=-9.4303, current_len=4
4021.3s 350 Applying LS move: opt=2opt*, delta=-23.9279, current_len=4
4021.3s 351 Applying LS move: opt=oropt_single, delta=-9.7845, current_len=4
4021.3s 352 Applying LS move: opt=oropt_single, delta=-9.1321, current_len=4
4021.3s 353 Applying LS move: opt=2opt, delta=-9.1912, current_len=4
4021.3s 354 Applying LS move: opt=2opt*, delta=-8.6001, current_len=4
4021.3s 355 Applying LS move: opt=2opt*, delta=-12.7723, current_len=4
4021.3s 356 Applying LS move: opt=oropt_single, delta=-11.2360, current_len=4
4021.3s 357 Applying LS move: opt=oropt_single, delta=-8.1206, current_len=4
4021.3s 358 Applying LS move: opt=oropt_single, delta=-7.0521, current_len=4
4021.3s 359 Applying LS move: opt=2opt*, delta=-6.3280, current_len=4
4021.3s 360 Applying LS move: opt=2exchange, delta=-19.3138, current_len=4
4021.3s 361 Applying LS move: opt=2opt, delta=-5.3209, current_len=4
4021.3s 362 Applying LS move: opt=2opt*, delta=-5.1103, current_len=4
4021.3s 363 Applying LS move: opt=oropt_single, delta=-4.9673, current_len=4
4021.3s 364 Applying LS move: opt=2opt, delta=-7.1235, current_len=4
